,0
rev_365d,0.18851618
rev_180d,0.15874459
rev_90d,0.08295413
monetary_total,0.07026081
aov,0.06978646
avg_basket_rev,0.06795958
rev_30d,0.04373554
n_orders,0.037638303
n_orders_items,0.035634357
q4_frac,0.027837466
frequency,0.024963126
is_uk,0.021347262
recency,0.019878892
avg_uniq_prods,0.015683752
tenure_days,0.015171681
weekend_ratio,0.015051833
freq_rate,0.014519233
recent_ratio,0.011714661
max_order,0.011374758
revenue_growth_rate,0.01024401
cancel_count,0.01023875
avg_basket_qty,0.0095949145
n_purchase_days,0.0083931405
revenue_trend_ratio,0.006085659
customer_age,0.0056691985
fav_dow,0.005033574
order_cv,0.004826092
maturity,0.0036018875
return_rate,0.003540169
n_countries,0.0
